"Ducks,  Geese, and Swans (Anatidae)",Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,BBWD,1
"Ducks,  Geese, and Swans (Anatidae)",Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,FUWD,1
"Ducks,  Geese, and Swans (Anatidae)",Emperor Goose,Oie empereur,Anser canagicus,EMGO,2
"Ducks,  Geese, and Swans (Anatidae)",Snow Goose,Oie des neiges,Anser caerulescens,SNGO,1
"Ducks,  Geese, and Swans (Anatidae)",Ross's Goose,Oie de Ross,Anser rossii,ROGO,1
"Ducks,  Geese, and Swans (Anatidae)",Graylag Goose,Oie cendrée,Anser anser,GRGO,5
"Ducks,  Geese, and Swans (Anatidae)",Greater White-fronted Goose,Oie rieuse,Anser albifrons,GWFG,1
"Ducks,  Geese, and Swans (Anatidae)",Lesser White-fronted Goose,Oie naine,Anser erythropus,LWFG,5
"Ducks,  Geese, and Swans (Anatidae)",Taiga Bean-Goose,Oie des moissons,Anser fabalis,TABG,3
"Ducks,  Geese, and Swans (Anatidae)",Tundra Bean-Goose,Oie de la toundra,Anser serrirostris,TUBG,3
"Ducks,  Geese, and Swans (Anatidae)",Pink-footed Goose,Oie à bec court,Anser brachyrhynchus,PFGO,4
"Ducks,  Geese, and Swans (Anatidae)",Brant,Bernache cravant,Branta bernicla,BRAN,1
"Ducks,  Geese, and Swans (Anatidae)",Barnacle Goose,Bernache nonnette,Branta leucopsis,BARG,4
"Ducks,  Geese, and Swans (Anatidae)",Cackling Goose,Bernache de Hutchins,Branta hutchinsii,CACG,1
"Ducks,  Geese, and Swans (Anatidae)",Canada Goose,Bernache du Canada,Branta canadensis,CANG,1
"Ducks,  Geese, and Swans (Anatidae)",Hawaiian Goose,Bernache néné,Branta sandvicensis,HAGO,2
"Ducks,  Geese, and Swans (Anatidae)",Mute Swan,Cygne tuberculé,Cygnus olor,MUSW,1
"Ducks,  Geese, and Swans (Anatidae)",Trumpeter Swan,Cygne trompette,Cygnus buccinator,TRUS,1
"Ducks,  Geese, and Swans (Anatidae)",Tundra Swan,Cygne siffleur,Cygnus columbianus,TUSW,1
"Ducks,  Geese, and Swans (Anatidae)",Whooper Swan,Cygne chanteur,Cygnus cygnus,WHOS,3
"Ducks,  Geese, and Swans (Anatidae)",Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,EGGO,2
"Ducks,  Geese, and Swans (Anatidae)",Common Shelduck,Tadorne de Belon,Tadorna tadorna,COMS,4
"Ducks,  Geese, and Swans (Anatidae)",Muscovy Duck,Canard musqué,Cairina moschata,MUDU,2
"Ducks,  Geese, and Swans (Anatidae)",Wood Duck,Canard branchu,Aix sponsa,WODU,1
"Ducks,  Geese, and Swans (Anatidae)",Baikal Teal,Sarcelle élégante,Sibirionetta formosa,BATE,4
"Ducks,  Geese, and Swans (Anatidae)",Garganey,Sarcelle d'été,Spatula querquedula,GARG,4
"Ducks,  Geese, and Swans (Anatidae)",Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,BWTE,1
"Ducks,  Geese, and Swans (Anatidae)",Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,CITE,1
"Ducks,  Geese, and Swans (Anatidae)",Northern Shoveler,Canard souchet,Spatula clypeata,NSHO,1
"Ducks,  Geese, and Swans (Anatidae)",Gadwall,Canard chipeau,Mareca strepera,GADW,1
"Ducks,  Geese, and Swans (Anatidae)",Falcated Duck,Canard à faucilles,Mareca falcata,FADU,4
"Ducks,  Geese, and Swans (Anatidae)",Eurasian Wigeon,Canard siffleur,Mareca penelope,EUWI,2
"Ducks,  Geese, and Swans (Anatidae)",American Wigeon,Canard d'Amérique,Mareca americana,AMWI,1
"Ducks,  Geese, and Swans (Anatidae)",Laysan Duck,Canard de Laysan,Anas laysanensis,LAYD,3
"Ducks,  Geese, and Swans (Anatidae)",Hawaiian Duck,Canard des Hawaï,Anas wyvilliana,HAWD,2
"Ducks,  Geese, and Swans (Anatidae)",Eastern Spot-billed Duck,Canard de Chine,Anas zonorhyncha,ESBD,4
"Ducks,  Geese, and Swans (Anatidae)",Mallard,Canard colvert,Anas platyrhynchos,MALL,1
"Ducks,  Geese, and Swans (Anatidae)",Mexican Duck,Canard du Mexique,Anas diazi,MEDU,2
"Ducks,  Geese, and Swans (Anatidae)",American Black Duck,Canard noir,Anas rubripes,ABDU,1
"Ducks,  Geese, and Swans (Anatidae)",Mottled Duck,Canard brun,Anas fulvigula,MODU,1
"Ducks,  Geese, and Swans (Anatidae)",White-cheeked Pintail,Canard des Bahamas,Anas bahamensis,WCHP,4
"Ducks,  Geese, and Swans (Anatidae)",Northern Pintail,Canard pilet,Anas acuta,NOPI,1
"Ducks,  Geese, and Swans (Anatidae)",Green-winged Teal,Sarcelle d'hiver,Anas crecca,GWTE,1
"Ducks,  Geese, and Swans (Anatidae)",Canvasback,Fuligule à dos blanc,Aythya valisineria,CANV,1
"Ducks,  Geese, and Swans (Anatidae)",Redhead,Fuligule à tête rouge,Aythya americana,REDH,1
"Ducks,  Geese, and Swans (Anatidae)",Common Pochard,Fuligule milouin,Aythya ferina,COMP,3
"Ducks,  Geese, and Swans (Anatidae)",Ring-necked Duck,Fuligule à collier,Aythya collaris,RNDU,1
"Ducks,  Geese, and Swans (Anatidae)",Tufted Duck,Fuligule morillon,Aythya fuligula,TUDU,3
"Ducks,  Geese, and Swans (Anatidae)",Greater Scaup,Fuligule milouinan,Aythya marila,GRSC,1
"Ducks,  Geese, and Swans (Anatidae)",Lesser Scaup,Petit Fuligule,Aythya affinis,LESC,1
"Ducks,  Geese, and Swans (Anatidae)",Steller's Eider,Eider de Steller,Polysticta stelleri,STEI,2
"Ducks,  Geese, and Swans (Anatidae)",Labrador Duck,Eider du Labrador,Camptorhynchus labradorius,LABD,6
"Ducks,  Geese, and Swans (Anatidae)",Spectacled Eider,Eider à lunettes,Somateria fischeri,SPEI,2
"Ducks,  Geese, and Swans (Anatidae)",King Eider,Eider à tête grise,Somateria spectabilis,KIEI,2
"Ducks,  Geese, and Swans (Anatidae)",Common Eider,Eider à duvet,Somateria mollissima,COEI,1
"Ducks,  Geese, and Swans (Anatidae)",Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,HADU,1
"Ducks,  Geese, and Swans (Anatidae)",Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,SUSC,1
"Ducks,  Geese, and Swans (Anatidae)",White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,WWSC,1
"Ducks,  Geese, and Swans (Anatidae)",Stejneger's Scoter,Macreuse de Sibérie,Melanitta stejnegeri,STSC,3
"Ducks,  Geese, and Swans (Anatidae)",Common Scoter,Macreuse noire,Melanitta nigra,COSC,5
"Ducks,  Geese, and Swans (Anatidae)",Black Scoter,Macreuse à bec jaune,Melanitta americana,BLSC,1
"Ducks,  Geese, and Swans (Anatidae)",Long-tailed Duck,Harelde kakawi,Clangula hyemalis,LTDU,1
"Ducks,  Geese, and Swans (Anatidae)",Bufflehead,Petit Garrot,Bucephala albeola,BUFF,1
"Ducks,  Geese, and Swans (Anatidae)",Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,COGO,1
"Ducks,  Geese, and Swans (Anatidae)",Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,BAGO,1
"Ducks,  Geese, and Swans (Anatidae)",Smew,Harle piette,Mergellus albellus,SMEW,3
"Ducks,  Geese, and Swans (Anatidae)",Hooded Merganser,Harle couronné,Lophodytes cucullatus,HOME,1
"Ducks,  Geese, and Swans (Anatidae)",Common Merganser,Grand Harle,Mergus merganser,COME,1
"Ducks,  Geese, and Swans (Anatidae)",Red-breasted Merganser,Harle huppé,Mergus serrator,RBME,1
"Ducks,  Geese, and Swans (Anatidae)",Masked Duck,Érismature routoutou,Nomonyx dominicus,MADU,3
"Ducks,  Geese, and Swans (Anatidae)",Ruddy Duck,Érismature rousse,Oxyura jamaicensis,RUDU,1
Curassows and Guans (Cracidae),Plain Chachalaca,Ortalide chacamel,Ortalis vetula,PLCH,2
New World Quail (Odontophoridae),Mountain Quail,Colin des montagnes,Oreortyx pictus,MOUQ,1
New World Quail (Odontophoridae),Northern Bobwhite,Colin de Virginie,Colinus virginianus,NOBO,1
New World Quail (Odontophoridae),Scaled Quail,Colin écaillé,Callipepla squamata,SCQU,1
New World Quail (Odontophoridae),California Quail,Colin de Californie,Callipepla californica,CAQU,1
New World Quail (Odontophoridae),Gambel's Quail,Colin de Gambel,Callipepla gambelii,GAQU,1
New World Quail (Odontophoridae),Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,MONQ,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Wild Turkey,Dindon sauvage,Meleagris gallopavo,WITU,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,RUGR,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Spruce Grouse,Tétras du Canada,Canachites canadensis,SPGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,WIPT,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Rock Ptarmigan,Lagopède alpin,Lagopus muta,ROPT,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,WTPT,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,GRSG,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,GUSG,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Dusky Grouse,Tétras sombre,Dendragapus obscurus,DUGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,SOGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,STGR,2
