Family,Species,French Name,Latin Name,Species Code,Num
"Ducks,  Geese, and Swans (Anatidae)",Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,BBWD,1
"Ducks,  Geese, and Swans (Anatidae)",Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,FUWD,1
"Ducks,  Geese, and Swans (Anatidae)",Emperor Goose,Oie empereur,Anser canagicus,EMGO,2
"Ducks,  Geese, and Swans (Anatidae)",Snow Goose,Oie des neiges,Anser caerulescens,SNGO,1
"Ducks,  Geese, and Swans (Anatidae)",Ross's Goose,Oie de Ross,Anser rossii,ROGO,1
"Ducks,  Geese, and Swans (Anatidae)",Greater White-fronted Goose,Oie rieuse,Anser albifrons,GWFG,1
"Ducks,  Geese, and Swans (Anatidae)",Tundra Bean-Goose,Oie de la toundra,Anser serrirostris,TUBG,3
"Ducks,  Geese, and Swans (Anatidae)",Brant,Bernache cravant,Branta bernicla,BRAN,1
"Ducks,  Geese, and Swans (Anatidae)",Barnacle Goose,Bernache nonnette,Branta leucopsis,BARG,4
"Ducks,  Geese, and Swans (Anatidae)",Cackling Goose,Bernache de Hutchins,Branta hutchinsii,CACG,1
"Ducks,  Geese, and Swans (Anatidae)",Canada Goose,Bernache du Canada,Branta canadensis,CANG,1
"Ducks,  Geese, and Swans (Anatidae)",Mute Swan,Cygne tuberculé,Cygnus olor,MUSW,1
"Ducks,  Geese, and Swans (Anatidae)",Trumpeter Swan,Cygne trompette,Cygnus buccinator,TRUS,1
"Ducks,  Geese, and Swans (Anatidae)",Tundra Swan,Cygne siffleur,Cygnus columbianus,TUSW,1
"Ducks,  Geese, and Swans (Anatidae)",Muscovy Duck,Canard musqué,Cairina moschata,MUDU,2
"Ducks,  Geese, and Swans (Anatidae)",Wood Duck,Canard branchu,Aix sponsa,WODU,1
"Ducks,  Geese, and Swans (Anatidae)",Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,BWTE,1
"Ducks,  Geese, and Swans (Anatidae)",Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,CITE,1
"Ducks,  Geese, and Swans (Anatidae)",Northern Shoveler,Canard souchet,Spatula clypeata,NSHO,1
"Ducks,  Geese, and Swans (Anatidae)",Gadwall,Canard chipeau,Mareca strepera,GADW,1
"Ducks,  Geese, and Swans (Anatidae)",Falcated Duck,Canard à faucilles,Mareca falcata,FADU,4
"Ducks,  Geese, and Swans (Anatidae)",Eurasian Wigeon,Canard siffleur,Mareca penelope,EUWI,2
"Ducks,  Geese, and Swans (Anatidae)",American Wigeon,Canard d'Amérique,Mareca americana,AMWI,1
"Ducks,  Geese, and Swans (Anatidae)",Eastern Spot-billed Duck,Canard de Chine,Anas zonorhyncha,ESBD,4
"Ducks,  Geese, and Swans (Anatidae)",Mallard,Canard colvert,Anas platyrhynchos,MALL,1
"Ducks,  Geese, and Swans (Anatidae)",American Black Duck,Canard noir,Anas rubripes,ABDU,1
"Ducks,  Geese, and Swans (Anatidae)",Mottled Duck,Canard brun,Anas fulvigula,MODU,1
"Ducks,  Geese, and Swans (Anatidae)",White-cheeked Pintail,Canard des Bahamas,Anas bahamensis,WCHP,4
"Ducks,  Geese, and Swans (Anatidae)",Northern Pintail,Canard pilet,Anas acuta,NOPI,1
"Ducks,  Geese, and Swans (Anatidae)",Canvasback,Fuligule à dos blanc,Aythya valisineria,CANV,1
"Ducks,  Geese, and Swans (Anatidae)",Redhead,Fuligule à tête rouge,Aythya americana,REDH,1
"Ducks,  Geese, and Swans (Anatidae)",Ring-necked Duck,Fuligule à collier,Aythya collaris,RNDU,1
"Ducks,  Geese, and Swans (Anatidae)",Greater Scaup,Fuligule milouinan,Aythya marila,GRSC,1
"Ducks,  Geese, and Swans (Anatidae)",Lesser Scaup,Petit Fuligule,Aythya affinis,LESC,1
"Ducks,  Geese, and Swans (Anatidae)",Steller's Eider,Eider de Steller,Polysticta stelleri,STEI,2
"Ducks,  Geese, and Swans (Anatidae)",Spectacled Eider,Eider à lunettes,Somateria fischeri,SPEI,2
"Ducks,  Geese, and Swans (Anatidae)",King Eider,Eider à tête grise,Somateria spectabilis,KIEI,2
"Ducks,  Geese, and Swans (Anatidae)",Common Eider,Eider à duvet,Somateria mollissima,COEI,1
"Ducks,  Geese, and Swans (Anatidae)",Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,HADU,1
"Ducks,  Geese, and Swans (Anatidae)",Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,SUSC,1
"Ducks,  Geese, and Swans (Anatidae)",Black Scoter,Macreuse à bec jaune,Melanitta americana,BLSC,1
"Ducks,  Geese, and Swans (Anatidae)",Long-tailed Duck,Harelde kakawi,Clangula hyemalis,LTDU,1
"Ducks,  Geese, and Swans (Anatidae)",Bufflehead,Petit Garrot,Bucephala albeola,BUFF,1
"Ducks,  Geese, and Swans (Anatidae)",Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,COGO,1
"Ducks,  Geese, and Swans (Anatidae)",Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,BAGO,1
"Ducks,  Geese, and Swans (Anatidae)",Hooded Merganser,Harle couronné,Lophodytes cucullatus,HOME,1
"Ducks,  Geese, and Swans (Anatidae)",Common Merganser,Grand Harle,Mergus merganser,COME,1
"Ducks,  Geese, and Swans (Anatidae)",Red-breasted Merganser,Harle huppé,Mergus serrator,RBME,1
"Ducks,  Geese, and Swans (Anatidae)",Masked Duck,Érismature routoutou,Nomonyx dominicus,MADU,3
"Ducks,  Geese, and Swans (Anatidae)",Ruddy Duck,Érismature rousse,Oxyura jamaicensis,RUDU,1
New World Quail (Odontophoridae),Mountain Quail,Colin des montagnes,Oreortyx pictus,MOUQ,1
New World Quail (Odontophoridae),Northern Bobwhite,Colin de Virginie,Colinus virginianus,NOBO,1
New World Quail (Odontophoridae),Scaled Quail,Colin écaillé,Callipepla squamata,SCQU,1
New World Quail (Odontophoridae),California Quail,Colin de Californie,Callipepla californica,CAQU,1
New World Quail (Odontophoridae),Gambel's Quail,Colin de Gambel,Callipepla gambelii,GAQU,1
New World Quail (Odontophoridae),Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,MONQ,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Wild Turkey,Dindon sauvage,Meleagris gallopavo,WITU,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,RUGR,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Spruce Grouse,Tétras du Canada,Canachites canadensis,SPGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,WIPT,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,GRSG,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Dusky Grouse,Tétras sombre,Dendragapus obscurus,DUGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,SOGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,STGR,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,GRPC,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,LEPC,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Gray Partridge,Perdrix grise,Perdix perdix,GRAP,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,RNEP,1
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Gray Francolin,Francolin gris,Ortygornis (Francolinus) pondicerianus,GRAF,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Chukar,Perdrix choukar,Alectoris chukar,CHUK,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Erckel's Francolin,Francolin d'Erckel,Pternistis erckelii,ERFR,2
Grebes (Podicipedidae),Least Grebe,Grèbe minime,Tachybaptus dominicus,LEGR,2
Grebes (Podicipedidae),Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,PBGR,1
Grebes (Podicipedidae),Horned Grebe,Grèbe esclavon,Podiceps auritus,HOGR,1
Grebes (Podicipedidae),Red-necked Grebe,Grèbe jougris,Podiceps grisegena,RNGR,1
Grebes (Podicipedidae),Western Grebe,Grèbe élégant,Aechmophorus occidentalis,WEGR,1
Grebes (Podicipedidae),Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,CLGR,1
Pigeons and Doves (Columbidae),Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,BTPI,1
Pigeons and Doves (Columbidae),Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,EUCD,1
Pigeons and Doves (Columbidae),Inca Dove,Colombe inca,Columbina inca,INDO,1
Pigeons and Doves (Columbidae),Common Ground Dove,Colombe à queue noire,Columbina passerina,CGDO,1
Pigeons and Doves (Columbidae),White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,WWDO,1
Pigeons and Doves (Columbidae),Mourning Dove,Tourterelle triste,Zenaida macroura,MODO,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,SBAN,3
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,GBAN,2
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,GRRO,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,YBCU,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,MACU,2
